ID,Investigators,Institution,Title,Submit_Year,Start_Year,Description
990385,A/Pr Chen Chen,Prince Henry's Institute of Medical Research,Effect of endogenous and synthetic growth hormone secretagogues in vitro on sheep and human somatotrophs,1998,1999,
990451,Dr Mark  Murphy,University of Melbourne,Growth factor regulation of neural stem cell commitment and differentiation.,1998,1999,
990646,Dr Anthony A Scalzo,University of Western Australia,How the Natural Killer gene complex (NKC) regulates NK cell control of virus infections.,1998,1999,
990761,A/Pr Andrew L Gundlach,Howard Florey Institute,Dynamics of neuropeptide systems in brain: Focus on novel galanin pathways and receptors,1998,1999,
991040,Prof Shaun P Jackson,Monash University,Investigation of the role of phosphoinositide 3-kinase in regulating the haemostatic function of platelets,1998,1999,
991077,A/Pr Annette M Gero,University of New South Wales,L-Nucleosides: Exploitation of membrane transport in the development of new antimalarials.,1998,1999,
991129,Prof John  Hopper,University of Melbourne,Genetic and statistical analyses of case-control-family studies of breast and colorectal cancer,1998,1999,
991186,Dr Claire E Wainwright,University of Queensland,"A multi-centre, randomised, controlled trial of BAL directed therapy in young children with cystic fibrosis.",1998,1999,
991496,Prof Graham D Lamb,La Trobe University,Control and modulation of Ca2+ release in skeletal muscle,1998,1999,
991751,A/Pr Annemarie  Hennessy,Royal Prince Alfred Hospital,Baboon Colony Support,1998,1999,
991752,Mr Tim  Anning,University of Melbourne,National Macaque Facility Infrastructure Grant,1998,1999,
993207,Prof Ismail   Kola,Monash University,The biological function of genes on human chromosome 21 and their role in the pathophysiology of Down syndrome,1998,1999,
993219,Prof Lyn D Beazley,University of Western Australia,Development and regeneration of the visual system,1998,1999,
993842,Dr Amanda J Leach,Menzies School of Health Research,Improving medical services for rural and remote        Aboriginal children chronic suppurative otitis media,1999,2000,
997002,Dr David J Curtis,Melbourne Health,"Charecterisations pf the receptor tyrosine kinase, NYK on early haemopoietic progenitors",1998,1999,
997006,Dr Robyn   Jamieson,Children's Medical Research Institute,Positional cloning of gene for autosomal dominant cataract,1998,1999,
997012,Dr Fiona Y Carroll,University of Melbourne,Molecular mechanisms involved in the subcelluar targeting of mG1uRs in cerebellar granule neurons,1998,1999,
997022,Dr Lynne  Hillier,La Trobe University,Multiple risk youth and HIV/STDs: using concepts of community and the responsible self as a vehicle,1998,1999,
997024,Dr Anthea M Magarey,Flinders University,Investigation and validation of methods appropriate to the definition and assessment of obesity in children,1998,1999,
997027,Dr Peter S Morris,Menzies School of Health Research,Understanding generalisability: How to get the most outof Cochrane reviews on use of antibiotics in children,1998,1999,
997030,Dr Penelope E Schofield,University of Melbourne,Component 1:Reducing impact of cancer diagnonis Component 2;Doctor-patient communication and therapy,1998,1999,
997031,Dr Sean  Slavin,La Trobe University,The Social & Cultural Meanings of Injecting Drug Use: Aqualitative study of four injecting drug populations,1998,1999,
997032,Dr Leigh R Tooth,University of Queensland,Predicting functional outcomes quality of life & healthcare utilisation following stroke & head injury,1998,1999,
997034,Dr Geoffrey W Birrell,Queensland Institute of Medical Research,Mechanisms of Cisplatin Potentiation by Tirapazamine,1998,1999,
997038,Dr Charles  Claudianos,Australian National University,The role of liver carboxylesterase int he infection of hepatocytes by plasmodium,1999,2000,
997042,Dr Michael J Farrell,Howard Florey Institute,functional neuroimaiging of pain processing in humans,1998,1999,
997045,Dr Justine M Hill,University of Queensland,Signalling cell death - structural basis of death effector/adaptor recruitment,1998,1999,
997054,Dr Peter J Mulquiney,University of Sydney,Energetics ant catons in myocardial ischaemic injury,1998,1999,
997096,Dr Linda E Shields,"Mater Medical Research Institute, Brisbane","A study of hospital staff's attitude to family-centred care in metro & rural Aust, (quant res meth in paed nur",1998,1999,
997125,Dr Kim C Nichols,University of Adelaide,Characterisation of the distribution and role of voltage-gated calcium channels in autonomic neurons,1998,1999,
997131,Dr Michael B Reed,Walter and Eliza Hall Institute,Gene targeting studies of antigenic variation and cytoadherance in plasmodium falciparum,1998,1999,
997137,Dr Heather  Stanton,University of Melbourne,Metalloproteinases and fibronectin fragments in cartilage aggrecan metabolism,1998,1999,
997141,Dr Mary Louise Tierney,Australian National University,Structural & biochemical analysis of soluble nicotinic acetylcholine receptor extracellular domains,1998,1999,
997142,Dr James (Jamie) A Triccas,University of Sydney,identification of genes expressed by mycobacterium tuberculosis to enhance intracellular survival,1998,1999,
997416,Dr Andrew V Biankin,Garvan Institute of Medical Research,The molecular pathology of pancreatic cancer,1998,1999,
997431,Dr Jacqueline R Dalby-Payne,The Children's Hospital at Westmead,The role of the cytoskeleton in the pathogenesis of E.coli infection in the gastrointestinal tract,1998,1999,
997438,Dr Fiona M Goldblatt,Flinders University,Characterisation and clinical relevance of an autoantibody directed against salivary ductal epithelium,1998,1999,
997439,A/Pr Russell L Gruen,Flinders University,Evaluation of the delivery of specialist services for the treatment of surgical disease in remote environm,1998,1999,
997442,Dr Anne  Harris,University of Melbourne,Microembolism as a risk factor for cerebral ischaemia in asymptomatic carotid stenosis,1998,1999,
997468,Dr Gerard C MacQuillan,University of Western Australia,Mechanisms of response and non-response to interferon-alpha therapy (IFN-a) in chronic hepatitis C infection.,1998,1999,
997478,Dr Heidi L Peters,Murdoch Children's Research Institute,Gene therapy for methylmalonic aciduria - the use of PAC/BAc clones for gene transfer.,1998,1999,
997494,Dr Michael F Sutherland,Monash University,"Characterisation of the human cellular and humoral response to the major latex allergen, HEV B 5.",1998,1999,
997505,Dr Thomas B H Yeoh,Victor Chang Cardiac Research Institute,Role of the Hand Genes in cardiac development and hypertrophy,1998,1999,
997509,Dr John R Condon,Menzies School of Health Research,Health services and other factors which affect cancer survival in Aboriginal people in the Northern Territory,1998,1999,
997520,Dr Edwina H L F Vance,University of Melbourne,"Medical ethics evaluation-identification of the core curriculum goals, the essential skills to evaluate these.",1998,1999,
997544,Mr David  Berlowitz,University of Melbourne,Sleep and breathing in quadriplegics,1998,1999,
997549,Dr Lisa M Askie,Royal Prince Alfred Hospital,A randomised trial of oxygen therapy on growth and development of infants,1998,1999,
997570,Ms Janet G Cahill,Curtin University of Technology,Melanoma cell motility: the role of mcam and cd151,1998,1999,
997573,Dr Ann L Cornish,Walter and Eliza Hall Institute,Genetic analysis of haemopoiesis,1998,1999,
997594,Miss Charmaine  Irvine,Flinders University,Purinergic neurotransmission in the biliary tree,1998,1999,
997607,Dr Fan  Li,Macfarlane Burnet Institute for Medical Research and Public Health,Hepatitis E virus capsid protein processing and the immune responses induced by DNA immunization,1998,1999,
997609,Ms Toni  Lynch,University of Melbourne,The role of metal-mediated oxidation and glutathione metabolism in amyloid beta toxic ity in Alzheimer's disea,1998,1999,
997630,Miss Jennifer E Rowland,University of Queensland,A Transgenic Analysis of the Basis for Growth Signalling by the Growth Hormone Receptor,1998,1999,
997665,Miss Annetta K L Wan,University of Queensland,Oral colonization of streptococcus mutans in children,1998,1999,
997683,Dr Ann M Poynten,Garvan Institute of Medical Research,Regulation of Insulin Sensitivity by manipulation of Lipid Metabolism,1998,1999,
3206,Prof Ian D McCloskey,University of New South Wales,Experimental neurology,1999,2000,
3209,Prof Fiona J Stanley,University of Western Australia,Epidemiological studies in maternal and child health,1999,2000,
3211,E/Pr Thomas Jack Martin,University of Melbourne,Humoral and local regulators of bone resorption and formation,1999,1999,
3212,Prof John J Hopwood,University of Adelaide,"Lysosomal storage disorders: diagnosis, treatment and biology",1999,2000,
3216,Prof Donald J Birkett,Flinders University,Molecular determinants of diversity in drug and chemical metabolism: towards designer drugs and enzymes,1999,2000,
3507,Dr Adam  GRAYCAR,Australian Institute of Criminology,"Modelling illicit drug use,criminal offending behaviourand treatment in the criminal justice population",1999,2000,
7004,Dr Vladimir  Likic,University of Melbourne,Determination of the three-dimensional structure of human calmodulin-like protein in solution and character,1999,2000,
7011,Dr Kaylene J Simpson,University of Melbourne,A mouse model to study the role of Brca1 in mammary    gland development,1999,2000,
7015,Dr Odilia L Wijburg,University of Melbourne,HOST-PATHOGEN INTERACTIONS IN MURINE TYPHOID FEVER,1999,2001,
7016,Dr Jamie I Fletcher,Walter and Eliza Hall Institute,Determination of the three-dimensional structure and substrate-binding mechanism of the assymetric Ap4A hydrol,1999,2000,
7028,Dr Ian P Blair,Garvan Institute of Medical Research,POSITIONAL CLONING OF A SUSCEPTIBILITY GENE ON CHROMOSOME 4Q35 FOR BIPOLAR AFFECTIVE DISORDER,1999,2000,
7030,Dr Qian  Sang,Howard Florey Institute,FUNCTIONAL SCREEN OF X-LINKED GENES IMPORTANT FOR NEURONAL MIGRATION IN DEVELOPING CORTEX AND RETINA,1999,2000,
7044,Dr Grant R Drummond,Howard Florey Institute,REACTIVE OXYGEN INTERMEDIATES AND ENDOTHELIAL NITRIC OXIDE SYNTHASE EXPRESSION IN ATHEROSCLEROSIS AND HYPERT,1999,2000,
7053,Dr Richard E Burke,University of Melbourne,"IDENTIFICATION OF PROTEINS THAT REGULATE INHIBITOR OF APOPTOSIS (IAP) PROTEINS, & THE MECHANISMS BY WHICH THE",1999,2000,
7070,Dr P M Pyett,University of Melbourne,DEVELOPING MODELS OF BEST PRACTICE IN COLLABORATIVE HEAHEALTH RESEARCH WITH ABORIGINAL COMMUNITY GROUPS,1999,2000,
7076,Dr Maggie  Kirkman,University of Melbourne,"The facts of life:Identity and Family amoung users of  donor sperm, eggs and embryos",1999,2000,
7079,Dr Bettina  Meiser,University of New South Wales,GENETIC SCREENING FOR HAEMOCHROMATOSIS: DETERMINATS OF UPTAKE OF POPULATION-BASED SCREENING & PSYCHOLOGICAL,1999,2000,
7087,A/Pr Margaret E Hellard,Monash University,INVESTIGATION OF THE NATURAL HISTORY OF COMMUNITY ACQUIHEP C IN A COHORT OF PARTICPANTS WITH AN AVERAGE OF,1999,2000,
7090,Dr Wendy H Oddy,Curtin University of Technology,THE NUTRITIONAL EPIDEMIOLOGY OF CHILDHOOD ASTHMA,1999,2000,
7105,Dr T F De Koning-Ward,Walter and Eliza Hall Institute,Development of tetracycline controlled gene expression system to study the role of malaria proteins in erythro,1999,2000,
7120,Dr David  C Whiteman,Queensland Institute of Medical Research,Molecular Epidemiology of cutaneous melanoma,1999,2000,
7125,A/Pr Shuguang  Wang,University of New South Wales,Preventing transmission of HIV across dual social system of China:development of a community-subcultural conte,1999,2000,
7129,A/Pr Wendy A Rogers,Flinders University,Investigation of ethical issues of guideline implementation,1999,2000,
7132,Dr Simon N.S. Louis,University of Melbourne,Angiotensin II AT2 receptor signalling and cancer,1999,2001,
7133,Dr David I Quinn,Garvan Institute of Medical Research,DETERMINATNS OF RESPONSE AND MORBIDITY IN OLDER MEN TREATED FOR PROSTATE CANCER,1999,2001,
7136,Dr Graham L HALL,University of Western Australia,"RELATIONSHIP BETWEEN LUNG VOL, LUNG FUNCTION AND EXHALENITRIC OSIDE IN INFANTS WITH RESPIRATORY DISEASE",1999,2000,
7139,Dr Stephen J Duffy,Baker IDI Heart and Diabetes Institute,ENDOTHELIAL REDOX STATE AND NITRIC OXIDE BIOACTIVITY,1999,1999,
7144,Dr Richard B Anderson,University of Melbourne,Molecular interactions of NETREN-3 during development,1999,2000,
7148,Dr Jane E Butler,University of New South Wales,Pathophysiological mechanisms in the control of human motoneurones,1999,2000,
7150,Dr Anne E Peaston,University of Sydney,SPIN expression control in early embryogenesis,1999,2000,
7158,Dr Shane R Thomas,University of New South Wales,Redox regulation of vascular inflammation,1999,2000,
7160,Dr Grant W Hennig,Flinders University,Optocal recordings of patterns of electrical activity during cordinated & cordinated gastro motor behaviour,1999,2000,
7161,A/Pr Konrad  Pesudovs,Flinders University,A comparison of methods for predicting visual outcome after cataract surgery,1999,2001,
7165,Dr Janet K Coller,University of Adelaide,Influence of the genetic variation in drug metabolism on therapeutic outcome,1999,2000,
7169,Dr Alexandra  Sharland,University of Sydney,Inhibition of human anti-pig NK cells by HLA-Expression,1999,2000,
7171,Dr Jason B Harper,Australian National University,Structure-Activity relationships for the interaction of gemini surfactants with various cell lines:towards target,1999,2000,
7178,Dr Linda A Crofts,University of Sydney,Function of the DRIP coactivator complex in oestrogen receptor-mediated transactivation& its role in Breast c,1999,2000,
7183,Dr Michael S Cowen,University of Melbourne,Studies of alcohol-seeking behaviour and relapse in    transgenic mice,1999,2000,
7187,Dr Fiona L Scott,Murdoch Children's Research Institute,Biology and Regulation of inhibitor of apoptosis proteins - IAPs,1999,2001,
7188,Dr Stuart B Mazzone,University of Melbourne,CENTRAL MECHANISMS REGULATING AUTONOMIC CONTROL OF THE AIRWAYS,1999,2000,
7407,Ms Kirsty A Mehalski,University of Sydney,Creatine supplementation - impact on health,1999,2000,
7411,Ms Catherine J Madill,University of Sydney,The semiotics of voice quality,1999,2001,
7414,Dr Anne J Smith,University of Western Australia,Patellofemoral Joint Mechanics & clinical outcome after total knee arthroplasty,1999,2000,
7419,Mrs Tanya A BELL,Queensland Institute of Medical Research,RISK FACTORS FOR ENDOMETRIOSIS,1999,2000,
7420,Mrs Saraid S Billiards,Monash University,INFECTION AND NEUROSTEROIDS; THEIR INTERACTION AND ROLEIN THE BRAIN AND ON BEHAVIOUR IN THE NEWBORN,1999,2000,
7422,Ms Nicole S BRYCE,The Children's Hospital at Westmead,THE REGULATION OF NEURONAL CELL SIZE AND MORPHOLOGY BY TROPOMYOSIN ISOFORMS,1999,2000,
7427,Dr Simon  Chu,Prince Henry's Institute of Medical Research,MOLECULAR PATHOGENESIS OF OVARIAN TUMOURS,1999,2000,
7428,Ms Hannah G CLARKE,University of Adelaide,ROLE OF PROTEOGLYCANS IN THE FORMATION OF FOLLICULAR FLUID,1999,2000,
7430,Dr Leigh  Coultas,Walter and Eliza Hall Institute,INVESTIGATION OF THE FUNCTION OF THE BH3-ONLY PROAPOP- TOTIC BCL-2 FAMILY MEMBERS,1999,2000,
7435,Ms Tanya A de Jong,Ludwig Institute for Cancer Research,ROLE OF HELIX-LOOP-HELIX PROTEINS IN INTESTINAL DEVEL- MENT,1999,2000,
7443,Dr Charles E Harvey,University of New South Wales,Correlation of immune responses to outcomes following  immunotherapy in chronic hepatitis C Infection,1999,2000,
7456,Mr Alfred A Lanzafame,University of Melbourne,ACUTE NEUROMODULATORY EFFECTS OF B/A4 AMYLOID PEPTIDE ON CHOLINERGIC SIGNALING PATHWAYS IN ALZHEIMER'S DISEAS,1999,2000,
7469,Dr Vanessa E Murphy,University of Newcastle,WHAT CAUSE PRETERM LABOUR IN ASTHMATIC PREGNANCIES? THE ROLE OF PLACENTAL 11BETA-HYDROXYSTEROID DEHYDROGENASE,1999,2000,
7481,Dr Weiyong  Shen,University of Western Australia,INVESTIGATION OF RECOMBINANT VIRAL VECTORS MEDIATED GENE DELIVERY INTO DISEASED EYES,1999,2000,
7487,Ms Jacqueline M Tarrant,Walter and Eliza Hall Institute,Genes regulating embryonic haemopoiesis,1999,2000,
7497,Dr Biao  Zeng,University of Sydney,HE STUDEY OF NON-PLASMIN MEDIATED PATHWAYS OF FIBRINOLYSIS,1999,2001,
7498,Dr Guoping  Zheng,Royal Prince Alfred Hospital,Identification of promoter regions that mediate high level expression of collagenase-3 in breast cancer invivo,1999,2000,
7605,Dr Jenny  Proimos,Murdoch Children's Research Institute,The economic and social determinants of adolescent health in Victoria,1999,2000,
7609,Mr Andrew C W Hall,University of Western Australia,Investigation into the determinants of indoor air quality exposures & prevalence of respiratory & neurological,1999,2000,
7616,Dr Karen J Campbell,Deakin University,Family food environments as determinants of children's eating behaviours; implications for obesity,1999,2001,
7626,Ms Karalyn M McDonald,La Trobe University,"HIV-positive women, pregnancy and motherhood",1999,2001,
7631,Mr Kenneth J Pidd,Flinders University,An investigation of alcohol and other gruds in the Australian workplace,1999,2000,
7635,Dr Michaela A Riddell,Victorian Infectious Diseases Reference Laboratory,"Evaluation of measles immunisation using serum, saliva & blood spot samples",1999,2000,
7703,Dr Paul P Bertrand,University of Melbourne,Sensory Transduction Mechanisms from the Mucosa to the Intrinsic Sensory Neurones of the Intestine,1999,2001,
7705,Dr Andrew G Brooks,University of Melbourne,The structural basis of the interaction between CD94/NKG2 receptors and their ligands,1999,2000,
7715,Dr Anuwat  Dinudom,University of Sydney,Feedback regulation of sodium-dependent transporters,1999,2000,
7728,A/Pr Denise E Jackson,Austin Research Institute,Isolation and characterisation of human PECAM-1 family members,1999,2000,
7732,Dr Sharon L LaFontaine,Deakin University,Cellular factors that regulate the expression and activity of the Menkes and Wilson Cu-ATPases,1999,2000,
7736,A/Pr Maria  Makrides,University of Adelaide,Randomised controlled trials to improve perinatal nutrition and outcome,1999,2000,
7757,Dr Tony  Tiganis,Monash University,Function and regulation of the protein tyrosine phosphatase TCPTP,1999,2000,
8103,Dr Svetlana  Cherepanoff,University of Sydney,Serum markers of age-related macular degeneration and its response to treatment with intraocular steroid,1999,2001,
8116,Dr Paul A Bird,University of New South Wales,The development of MRI scoring system as a reliable outcome measure in rheumatoid arthritis utilising patients,1999,2000,
8124,Dr Catherine L Cherry,Monash University,Sensory neuropathy in HIV/AIDS,1999,2000,
8136,Dr Martin J Grehan,University of New South Wales,The contribution of the mucus-associated bacterial microflora to inflammatory bowel disease with special refer,1999,2000,
8145,Dr Stacey K Jankelowitz,University of New South Wales,Electrophysiological assessment of the effects of      stroke,1999,2000,
8148,Dr Matthew D Jose,Prince Henry's Institute of Medical Research,The role of MIF in renal transplant rejection,1999,2000,
8157,Dr Danny  Liew,Monash University,Epidemiological modeling of Ischaemic heart diseaes in Aust.,1999,2000,
8158,Dr Vidya S Limaye,Institute of Medical and Veterinary Science,Role of sphingosine kinase in arthritis - identification of anovel mediator of arthritis,1999,2000,
8167,Dr Caroline L Marshall,Monash University,Development of a method for subtyping methicillin-resistant Staphlyococcus aureus (MRSA) & its use in the unde,1999,2000,
8170,Dr Martin K. C. Ng,University of Sydney,The role of androgens in atherosclerosis,1999,2001,
8171,Dr Kris E Park,Sydney West Area Health Service,Vascular dysfunction in diabetes mellitus,1999,2000,
8174,Dr Thuc N Phung,Sydney West Area Health Service,Hepatic fibrogenesis in nonalcoholic steatohepatitis,1999,2000,
8175,Dr Jeffrey  Post,University of New South Wales,Natural history of primary hepatitis C virus infection,1999,2000,
8186,Dr Vitali  Sintchenko,University of New South Wales,evidence-based antibiotic use in critical care: decision analysis & information support,1999,2000,
8188,Dr Benjamin  Solomon,Peter MacCallum Cancer Centre,Regulation of cell death in mammals,1999,2000,
8189,Dr Velandai K Srikanth,University of Melbourne,Dementia after stroke - a longitudinal population-based study,1999,2000,
8191,Dr Cosimo  Stambe,Prince Henry's Institute of Medical Research,Regulation of cytokine production in rat anti-GBM glomerulonephritis,1999,2000,
8192,Dr Emily  Stone,University of Sydney,The role of the insulin-like growth factor family pulmonary disease.,1999,2001,
8198,Dr Liza  Thomas,Sydney West Area Health Service,Atrial dynamics & function: its contribution to cardiac output in health and disease,1999,2000,
8202,Dr Gareth C Weston,Monash University,Angiogenesis inhibitors & their role in normal physiology & in endometriosis in the female reproductive tract,1999,2000,
8203,Dr Alan  Wigg,Flinders University,"optimising the integrity, function & durability of hepatocytes used in the bioartificial liver",1999,2000,
8204,Dr Anita E Wluka,Monash University,Does obesity or weight bearing exercise affect joint cartilage volume in healthy subjects ?,1999,2000,
8505,Ms Julie  Owen,University of Western Australia,Research into methods and message delivery on cardiovascular disease by Aboriginal Health Workers in conjuncti,1999,2000,
101202,Prof Judith  Clements,Queensland University of Technology,Characterisation of a novel prostate-expressed kallikrein-like protease and its target proteins,1999,2000,
102114,A/Pr Judith L Morris,Flinders University,Neurotransmission in functionally distinct vasodilator pathways,1999,2000,
102519,Prof David I Vaney,University of Queensland,The Structural Basis of Direction Selectivity in the Retina,1999,2000,
104800,Dr Mark A Gibson,University of Adelaide,"Mechanisms defining microfibril and elastic fibre assembly, structure and function.",1999,2000,
104814,A/Pr Ashley L Blackshaw,University of Adelaide,Gastrointestinal sensory function in normal and diseased states,1999,2000,
104855,Prof Leonie K Ashman,University of Newcastle,c-Kit signalling and cellular responses in haemopoietic cells,1999,2000,
106915,Prof James C Vickers,University of Tasmania,The neural reaction to injury: Clues to the cause and prevention of acquired brain damage and Alzheimer's disease.,1999,2000,
107222,A/Pr Christine L Clarke,University of Sydney,Significance and mechanisms of relative progesterone receptor isoform expression in normal and malignant target tissues,1999,2000,
107359,A/Pr Graham J Mann,University of Sydney,Australian melanoma family study,1999,2000,
107408,Prof Stephen W MacMahon,University of Sydney,Collaborative overview of cohort studies of cardiovascular diseases in the Asia Pacific region,1999,2001,
107501,A/Pr Stephen M Jane,University of Melbourne,"STUDIES OF NF-E4, A NOVEL FETAL/ERYTHROID SPECIFIC FACTOR INVOLVED IN FETAL GLOBIN GENE REGULATION",1999,2000,
107800,Prof Richard GH Cotton,University of Melbourne,Cleavage methods of mutation detection: Improvement and application in cardiovascular disease,1999,2000,
110288,Dr Mariapia A Degli-Esposti,University of Western Australia,Modulation of apoptosis by cytomegalovirus: analysis of new mechanisms to interfere with cytomegalovirus-induced disease,1999,2000,
110295,Prof Lawrence J Beilin,University of Western Australia,"A HEALTH PROMOTION PROGRAM INCORPORATING FISH FOR WITHDRAWAL OF ANTIHYPERTENSIVE DRUGS IN OVERWEIGHT, HYPERTENSIVES",1999,2000,
111119,Ms Janine  L Barkess,Curtin University of Technology,Changing dietary behaviour in the community: Development and trial of a simple diet tool,2001,2002,
111700,Dr Damian FJ Purcell,University of Melbourne,Translational control during HIV-1 replication,1999,2000,
112600,A/Pr Joanne  Aitken,The Cancer Council Queensland,"Melanoma diagnosis, and the effect of screening on depth of invasion of  melanoma.",1999,2000,
113804,Prof Glenda M Halliday,University of New South Wales,What contributes to regional vulnerability in neurodegenerative diseases? A study of familial cases.,1999,2000,
113815,Dr Caroline J Hunt,University of New South Wales,The effectiveness of an early intervention and prevention strategy for anxiety  and depressive disorders.,1999,2000,
113821,A/Pr Geoffrey P Symonds,University of New South Wales,A Gene Therapy Approach to Acute Myeloid Leukaemia: Reversion of the Disease Phenotype,1999,2000,
113844,Prof Stewart L Einfeld,University of New South Wales,LONGITUDINAL STUDY OF BEHAVIOUR AND EMOTIONAL PROBLEMS  IN YOUNG PEOPLE WITH INTELLECTUAL DISABILITIES,1999,2000,
113854,E/Pr Mark J Rowe,University of New South Wales,"Neural Mechanisms in Tactile, Kinaesthetic and Pain Sensation ",1999,2000,
113920,Dr James A Brock,University of New South Wales,Mechanisms controlling the excitability of corneal nociceptor nerve terminals,1999,2000,
114106,Prof Gregory E Rice,University of Melbourne,The Role and Regulation of Phospholipase Isozymes in the Initiation of Human Labour,1999,2000,
114118,Prof John F Bateman,University of Melbourne,Molecular mechanisms of collagen matrix assembly in health and disease,1999,2000,
114123,Prof Arthur  Shulkes,University of Melbourne,Functional relationships of gastrin and its regulators in the developing and diseased gastrointestinal tracts,1999,2000,
114147,Dr Antonius JM VERBERNE,University of Melbourne,IDENTIFICATION OF BRAIN NEURONS INVOLVED IN THE CARDIOVASCULAR RESPONSE TO FEAR AND FLIGHT,1999,2000,
115080,Dr Philip D Hodgkin,Walter and Eliza Hall Institute,Testing a new theory of Immune regulation,1999,2000,
117102,Dr Nigel W Beebe,University of Technology Sydney,Population Dynamics and Evolution of Mosquitoes that Transmit Malaria,1999,2000,
117409,Prof Peter W Gunning,Children's Medical Research Institute,Molecular Genetics of Cell and Tissue Structure,1999,2000,
122815,Dr Shin-Ho  Chung,Australian National University,"Investigation of Biological Ion Channels: Theoretical Formulation, Computer Simulation and Experimental Verification",1999,2000,
124000,Prof Bruce E Kemp,St.Vincent's Institute of Medical Research,REGULATION OF PROTEIN KINASES AND THEIR SUBSTRATES,1999,2000,
124319,Prof Kerin  O'Dea,Menzies School of Health Research,Community-Based Interventions to Reduce the Risk of Diabetes and Cardiovascular Disease in Indigenous Australians,1999,2001,
124331,Prof Peter AW Rogers,Monash University,Endometrial angiogenesis,1999,2000,
124411,A/Pr Phillip I Bird,Monash University,The role of proteinase inhibitor 9 in cytotoxic lymphocyte function,1999,2000,
124567,Prof Adrian M Walker,Monash University,Cerebral circulation in sleep - physiology & pathophysiology,1999,2000,
127600,A/Pr David O Willenborg,Australian National University,The role of interferon gamma  and nitric oxide as downregulating molecules in central nervous system inflammation,1999,2000,
136925,Dr Kylie  Ball,Deakin University,Behavioural pathways to obesity: Understanding the role of physical activity & nutrition in weight gain among Aus adults,2000,2001,
136927,Dr Michelle A Kermode,Deakin University,Safer management of needles and sharps in hospitals and community health projects in rural northern India,2000,2001,
